CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA,Mean
135,CN,97811,E,3.17129,0.74686,0.05197,291,28.51906542056075
134,CN,18346,E,3.42705,0.54807,0.15921,291,18.636276849642
133,CN,97272,B,1.43446,1.45486,0.11669,291,18.862072336265886
132,CN,11898,E,1.36916,0.56073,0.20608,291,24.830538513974076
131,CN,24455,A,2.82583,2.3456,0.09124,291,15.234883720930235
130,CN,97497,C,3.46638,1.28007,0.26245,291,14.957894736842121
129,CN,37399,A,0.65859,1.57689,0.13386,291,17.374622144112536
128,CN,96483,C,2.21455,1.19762,0.22481,291,6.2484273589615675
127,CN,30968,B,2.06924,1.65844,0.20487,291,3.9994011976047874
126,CN,45050,D,2.81671,1.58677,0.12176,291,9.380278422273777
125,CN,96446,E,2.68946,1.41327,0.06393,291,19.39026425591097
124,CN,96212,B,1.71944,0.53397,0.19482,291,25.166858513189453
123,CN,40112,D,2.84524,2.43585,0.20191,291,1.5627785058977706
122,CN,85599,C,2.93466,1.72917,0.23804,291,9.592727272727272
121,CN,16893,A,2.16726,2.12306,0.16462,291,10.43397075365581
120,CN,31940,E,1.59895,1.37921,0.13872,291,12.953185595567865
119,CN,19553,A,2.38829,1.20527,0.2087,291,12.820391517128867
118,CN,8493,C,0.72812,1.06515,0.19524,291,17.916644067796604
117,CN,95618,C,1.69226,1.83293,0.08589,291,22.872860962566836
116,CN,26114,D,1.33455,0.82183,0.09174,291,30.501845207585827
115,CN,30419,A,2.4002,2.65321,0.14905,291,3.4862626262626266
114,CN,97740,E,4.22819,1.76532,0.30282,291,6.115297741273102
113,CN,48366,B,2.42918,1.22526,0.15014,291,6.761930136175254
112,CN,30497,D,3.12857,0.93786,0.1801,291,7.163557105492586
111,CN,97445,B,2.68655,1.88996,0.11149,291,6.214110429447852
110,CN,44365,E,3.08633,0.94461,0.13711,291,8.132581602373877
109,CN,86725,B,2.58036,1.57038,0.21387,291,2.908072289156631
108,CN,44432,D,2.632,2.41901,0.2386,291,5.346109175377459
107,CN,44548,A,2.36759,1.24446,0.2322,291,8.46025492468136
106,CN,16924,C,2.10444,1.49097,0.15498,291,16.390287769784173
105,CN,28297,D,1.50453,1.38542,0.07382,291,21.675454545454514
104,CN,86572,B,1.67548,2.1859,0.2337,291,14.466666666666661
103,CN,16901,D,2.83203,1.95698,0.21573,291,16.634722222222237
102,CN,16366,A,2.04544,1.05996,0.08645,291,20.738478915662704
101,CN,40320,B,2.53068,1.14504,0.17285,291,6.362667304015295
100,CN,84210,C,2.45528,1.61944,0.17091,291,2.317294520547944
99,CN,24399,C,2.13942,1.91803,0.24568,291,1.8631840796019907
98,CN,30321,D,2.41699,1.29881,0.30197,291,3.820036101083037
97,CN,17509,E,2.18605,1.51652,0.20999,291,6.205639097744357
96,CN,97755,C,1.77601,1.79508,0.13254,291,11.570137524557955
95,CN,87728,B,3.72099,1.34021,0.17938,291,34.29678362573098
94,CN,97711,D,3.86543,2.19605,0.20564,291,37.71818181818183
93,CN,47464,A,1.25404,0.92743,0.01982,291,40.90785256410255
92,CN,48829,C,1.12326,2.01306,0.29664,291,11.509052092228853
91,CN,12091,B,2.10461,0.70434,0.18239,291,20.83143124415342
