CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,TP_LINGUA,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA
1,LC,48074,D,0.0,4.52165,0.53966,0.24458,399
2,LC,37043,D,0.0,3.20601,0.68677,0.15385,399
3,LC,7463,C,0.0,4.13584,0.87671,0.08482,399
4,LC,54099,D,0.0,3.09698,0.50324,0.23815,399
5,LC,18212,E,0.0,2.83695,0.71551,0.20157,399
6,LC,23183,E,1.0,2.49389,0.83639,0.14535,399
7,LC,33118,D,1.0,1.94293,0.55952,0.2057,399
8,LC,88785,B,1.0,1.84579,0.38141,0.13359,399
9,LC,60767,E,1.0,1.8619,1.70239,0.25075,399
10,LC,47905,E,1.0,3.12504,0.77877,0.16214,399
11,LC,62046,B,,1.74404,-0.16537,0.03589,399
12,LC,88888,D,,2.13756,0.64551,0.09542,399
13,LC,23784,A,,1.04729,1.07423,0.25133,399
14,LC,38057,E,,2.08536,0.3332,0.10324,399
15,LC,39670,D,,2.13914,0.93986,0.11246,399
16,LC,48314,A,,2.60576,-0.0301,0.2009,399
17,LC,30469,A,,1.8824,1.22143,0.09514,399
18,LC,84380,B,,1.56281,1.55459,0.11684,399
19,LC,32266,C,,3.89954,0.57072,0.16429,399
20,LC,44273,E,,0.76939,0.2678,0.01939,399
21,LC,31174,C,,1.58641,1.20521,0.23911,399
22,LC,18642,D,,2.08588,0.48827,0.20928,399
23,LC,85411,A,,1.96111,1.137,0.10859,399
24,LC,84042,E,,2.68914,0.1005,0.04255,399
25,LC,29586,B,,3.0576,1.26179,0.08981,399
26,LC,36865,A,,1.16082,-0.47212,0.00887,399
27,LC,61636,D,,2.10962,0.66029,0.15184,399
28,LC,86768,E,,2.1562,-0.11227,0.02547,399
29,LC,82891,D,,2.01242,0.70413,0.0707,399
30,LC,77759,E,,3.12296,1.51979,0.13822,399
31,LC,90150,D,,0.69642,0.37615,0.01312,399
32,LC,68416,B,,3.16493,-0.22125,0.10679,399
33,LC,55771,B,,1.24399,-0.10378,0.02618,399
34,LC,29181,B,,3.63616,1.38377,0.12723,399
35,LC,86322,D,,2.04412,0.95386,0.16042,399
36,LC,32474,E,,2.06409,0.0301,0.21739,399
37,LC,31891,A,,3.51134,0.53792,0.16756,399
38,LC,19655,B,,3.16284,2.20447,0.15292,399
39,LC,7069,B,,2.56455,-0.514,0.08064,399
40,LC,90020,C,,2.11132,1.36576,0.19052,399
41,LC,30995,C,,1.09319,3.12888,0.23786,399
42,LC,29528,A,,1.36953,0.02916,0.02133,399
43,LC,68284,B,,1.96831,0.74872,0.12595,399
44,LC,39530,A,,2.55207,1.54953,0.14433,399
45,LC,84452,A,,3.11514,0.51239,0.23312,399
46,LC,96950,E,,0.70988,2.33551,0.13044,399
47,LC,85925,D,,2.56616,0.42016,0.15803,399
48,LC,53474,D,,1.33397,-0.02592,0.00728,399
49,LC,55024,C,,4.51018,0.6145,0.19567,399
50,LC,60715,B,,3.47859,0.89063,0.1198,399
