CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA
136,MT,117635,E,1.84162,0.88644,0.35048,515
137,MT,9779,E,2.287,2.217,0.085,515
138,MT,111608,E,2.47366,1.61606,0.04665,515
139,MT,111696,A,2.05561,3.05197,0.11848,515
140,MT,63187,D,1.86876,0.4293,0.12552,515
141,MT,117612,B,1.94459,2.78766,0.16241,515
142,MT,63808,E,2.89605,1.98685,0.08712,515
143,MT,54448,B,3.06326,0.80679,0.08034,515
144,MT,86432,A,1.12267,0.37213,0.26876,515
145,MT,23065,C,,,,515
146,MT,117798,A,2.72919,1.92868,0.23186,515
147,MT,30740,B,1.64938,1.94549,0.20724,515
148,MT,30436,C,1.64692,0.47926,0.18811,515
149,MT,117725,D,1.20999,2.11115,0.06509,515
150,MT,84409,B,1.77601,1.53793,0.14814,515
151,MT,28434,A,2.45024,3.01267,0.14322,515
152,MT,117607,B,2.28084,1.24447,0.12125,515
153,MT,30570,E,3.17618,2.35696,0.27294,515
154,MT,84374,C,1.7206,2.05336,0.18597,515
155,MT,83754,E,3.93635,3.78057,0.19828,515
156,MT,39708,C,2.45518,2.61221,0.15911,515
157,MT,117950,A,3.76775,2.42062,0.20831,515
158,MT,117845,C,3.1849,1.31578,0.14485,515
159,MT,117726,D,2.31939,1.41653,0.07186,515
160,MT,8368,C,2.17954,1.95289,0.13818,515
161,MT,13303,B,3.1073,1.87878,0.18717,515
162,MT,14324,D,3.8143,2.48432,0.09189,515
163,MT,18002,C,3.41848,1.95818,0.16938,515
164,MT,42803,C,2.30372,1.40103,0.13792,515
165,MT,117743,E,3.9588,1.47023,0.11919,515
166,MT,10360,D,1.52296,2.72201,0.36496,515
167,MT,31184,C,2.662,2.957,0.068,515
168,MT,8401,D,2.25899,1.51757,0.09598,515
169,MT,117818,A,1.62365,1.98136,0.18076,515
170,MT,117783,B,1.96646,2.01615,0.1547,515
171,MT,83792,E,1.25552,1.93449,0.06675,515
172,MT,8442,D,1.51,3.003,0.147,515
173,MT,89634,E,2.5937,1.91179,0.07742,515
174,MT,78445,C,5.31206,3.34343,0.16052,515
175,MT,17642,D,2.24304,2.30004,0.20665,515
176,MT,117767,D,0.1828,12.4166,0.11617,515
177,MT,83955,D,2.5833,1.63345,0.16356,515
178,MT,111593,B,4.12689,2.8894,0.12635,515
179,MT,111518,A,1.57287,1.15345,0.11072,515
180,MT,83994,A,1.78432,1.1667,0.0455,515
